text,sentiment
Terrible customer service! Still waiting for a response 🙄 #disappointed,0
The design is absolutely beautiful! Well done @designteam ✨,1
Doctor was very unprofessional! 👨‍⚕️ Terrible @clinic,0
Great experience shopping here! Will definitely come back 🛍️,1
Overpriced and tasteless food 🍽️ #notworth,0
Worst pizza ever! Tasted like cardboard 🍕 #terrible,0
Delicious food and great atmosphere! 🍽️ #yum,1
Awful experience! Would give 0 stars if I could ⭐,0
This made my day! Thank you so much ❤️,1
Completely broken on arrival 📦 #fail,0
Hotel staff was incredibly helpful! Great stay 🏨 #travel,1
Hotel room was dirty! Unacceptable 🏨 #horrible @hotel,0
Broke after one use! Pathetic quality 😠 #cheap,0
I absolutely love this new feature! @Twitter keeps getting better 👏,1
This is a game changer! Revolutionary product 🔥,1
This product is a dream come true! 🌈,1
This is exactly what I was looking for! Perfect 👌,1
Great experience shopping here! Will definitely come back 🛍️,1
Latest update broke everything! Fix this @developer 😡,0
Doctor was very unprofessional! 👨‍⚕️ Terrible @clinic,0
@amazon Just received my order! Super fast shipping 😊 #satisfied,1
Worst experience ever 😡 Never shopping here again @badstore,0
This is the worst purchase I've ever made 💸 #regret,0
Very disappointed with @company Not what I expected at all 😞,0
Flight delayed 6 hours! No compensation ✈️ @airline angry!,0
This movie was incredible! Highly recommend watching it 🎬 #MustWatch,1
Flight delayed 6 hours! No compensation ✈️ @airline angry!,0
This burger is to die for! 🍔 @restaurant amazing!,1
This product is a dream come true! 🌈,1
Coffee here is incredible ☕ Love this place!,1
Top quality! Will buy from here again 🏆,1
Top quality! Will buy from here again 🏆,1
Battery lasts all day! Finally! 🔋 #impressed,1
Love the new update! So many useful features 🔄 @developer,1
Latest update broke everything! Fix this @developer 😡,0
This burger is to die for! 🍔 @restaurant amazing!,1
Really unhappy with this purchase 😞 #notworth,0
Completely useless! Doesn't work at all 👎 #fail,0
Terrible app! Crashes constantly 📱 #buggy,0
Bank resolved my issue immediately! 💳 Excellent service,1
Coffee here is incredible ☕ Love this place!,1
So slow! Can't even open apps 🐌 #frustrated,0
Customer support was so helpful! Thank you 🙏 #excellent,1
Best customer service ever! Thank you @AppleSupport ❤️,1
Poor quality materials. Fell apart immediately 💔,0
Finally! A product that actually works as advertised 🎉,1
Battery lasts all day! Finally! 🔋 #impressed,1
Just finished an amazing workout session! Feeling great 💪 #fitness,1
Love love love this! Can't stop using it 😍 #addicted,1
So frustrated! Nothing works as promised 🤬,0
Terrible app! Crashes constantly 📱 #buggy,0
This laptop is amazing! Best performance I've seen 💻 #technology,1
Product stopped working. No refund offered! @shop #angry,0
Smooth flight and friendly crew! ✈️ @airline thanks!,1
@amazon Just received my order! Super fast shipping 😊 #satisfied,1
Bitter coffee and rude staff ☕ Disappointed @cafe,0
This is ridiculous! Worst service ever @company,0
Stale desserts! Couldn't finish it 🍰 @bakery gross!,0
This laptop overheats constantly 🔥 Not happy at all,0
So glad I bought this! Life changing 🚀,1
Poor quality materials. Fell apart immediately 💔,0
Finally found what I needed! Thank you @shop 🎁,1
False advertising! Nothing like what was shown 😠,0
So angry right now! This is unacceptable 😤,0
Broke after one use! Pathetic quality 😠 #cheap,0
Flight delayed 6 hours! No compensation ✈️ @airline angry!,0
Customer support was so helpful! Thank you 🙏 #excellent,1
Gym equipment all broken! Not worth membership 💪 #disappointed,0
Love the new update! So many useful features 🔄 @developer,1
Waited 3 hours for customer support. Still no help! 😤,0
Not worth the price at all! Major letdown 😞 #overpriced,0
These desserts are heavenly! 🍰 @bakery perfection!,1
Stale desserts! Couldn't finish it 🍰 @bakery gross!,0
Disappointed beyond words 😔 Expected so much better,0
Super impressed with the battery life on this device! 🔋,1
Super impressed with the battery life on this device! 🔋,1
Stale desserts! Couldn't finish it 🍰 @bakery gross!,0
Amazing features! Everything works perfectly 💻,1
Can't believe how good this coffee is ☕ @Starbucks you nailed it!,1
Don't buy this! It's not worth it #scam,0
Incredible value for money! @brand you rock 🎸,1
Bank resolved my issue immediately! 💳 Excellent service,1
This laptop overheats constantly 🔥 Not happy at all,0
This is garbage! Total rip off 💩 @badproduct,0
This is the worst purchase I've ever made 💸 #regret,0
Stale desserts! Couldn't finish it 🍰 @bakery gross!,0
Awful experience! Would give 0 stars if I could ⭐,0
I absolutely love this new feature! @Twitter keeps getting better 👏,1
Top quality! Will buy from here again 🏆,1
So slow! Can't even open apps 🐌 #frustrated,0
Very disappointed with @company Not what I expected at all 😞,0
This is ridiculous! Worst service ever @company,0
Speechless! This is better than I imagined 😱,1
Super impressed with the battery life on this device! 🔋,1
False advertising! Nothing like what was shown 😠,0
Bank lost my payment! Still not resolved 💳 #frustrated,0
This restaurant has the best food in town! 🍕 @localrestaurant,1
Stale desserts! Couldn't finish it 🍰 @bakery gross!,0
Nightmare experience! Never again @brand #terrible,0
Completely broken on arrival 📦 #fail,0
Finally! A product that actually works as advertised 🎉,1
This restaurant has the best food in town! 🍕 @localrestaurant,1
Gym equipment is top notch! Love it here 💪 #fitness,1
Disappointed beyond words 😔 Expected so much better,0
Love love love this! Can't stop using it 😍 #addicted,1
Gym equipment is top notch! Love it here 💪 #fitness,1
This burger is to die for! 🍔 @restaurant amazing!,1
This is a game changer! Revolutionary product 🔥,1
This movie was incredible! Highly recommend watching it 🎬 #MustWatch,1
Incredible value for money! @brand you rock 🎸,1
Just finished an amazing workout session! Feeling great 💪 #fitness,1
Bank lost my payment! Still not resolved 💳 #frustrated,0
This is garbage! Total rip off 💩 @badproduct,0
Battery dies in 2 hours! False advertising 🔋 #angry,0
I absolutely love this new feature! @Twitter keeps getting better 👏,1
Brilliant product! Highly recommended to everyone 👍,1
Horrible quality! Pictures were misleading 👎,0
